paises;quantidade_kg;valor;categorias;ano
Reino Unido;20.880;70.326;Espumantes;2008
Republica Dominicana;-;-;Espumantes;2008
Republica Tcheca;493;1.125;Espumantes;2008
Russia;-;-;Espumantes;2008
Serra Leoa;-;-;Espumantes;2008
Singapura;-;-;Espumantes;2008
Suecia;5.922;17.100;Espumantes;2008
Suiça;16.830;45.662;Espumantes;2008
Suriname;-;-;Espumantes;2008
Tailandia;-;-;Espumantes;2008
Taiwan (Formosa);-;-;Espumantes;2008
Trinidade e Tobago;-;-;Espumantes;2008
Turquia;-;-;Espumantes;2008
Uruguai;-;-;Espumantes;2008
Vanuatu;-;-;Espumantes;2008
Venezuela;-;-;Espumantes;2008
Vietnã;-;-;Espumantes;2008
Outros(1);-;-;Espumantes;2008
Total;355.220;548.650;Espumantes;2008
Africa do Sul;-;-;Uvas frescas;2008
Alemanha, República Democrática;1.297.991;2.693.071;Uvas frescas;2008
Angola;33.860;90.396;Uvas frescas;2008
Antígua e Barbuda;-;-;Uvas frescas;2008
Arabia Saudita;47.328;103.666;Uvas frescas;2008
Argélia;-;-;Uvas frescas;2008
Argentina;724.192;1.474.257;Uvas frescas;2008
Áustria;-;-;Uvas frescas;2008
Bahamas;-;-;Uvas frescas;2008
Bahrein;-;-;Uvas frescas;2008
Bangladesh;-;-;Uvas frescas;2008
Barbados;-;-;Uvas frescas;2008
Barein;-;-;Uvas frescas;2008
Bélgica;3.163.866;8.111.299;Uvas frescas;2008
Belize;-;-;Uvas frescas;2008
Bermudas;-;-;Uvas frescas;2008
Bolívia;-;-;Uvas frescas;2008
Bosnia;-;-;Uvas frescas;2008
Brasil;-;-;Uvas frescas;2008
Bulgária;-;-;Uvas frescas;2008
Burquina Faso;-;-;Uvas frescas;2008
Cabo Verde;10;29;Uvas frescas;2008
Camarões;-;-;Uvas frescas;2008
Camores;-;-;Uvas frescas;2008
Canadá;739.519;2.621.657;Uvas frescas;2008
Catar;-;-;Uvas frescas;2008
Cayman, Ilhas;-;-;Uvas frescas;2008
Chile;-;-;Uvas frescas;2008
China;-;-;Uvas frescas;2008
Chipre;-;-;Uvas frescas;2008
Cingapura;-;-;Uvas frescas;2008
Cocos (Keeling), Ilhas;-;-;Uvas frescas;2008
Colombia;-;-;Uvas frescas;2008
Congo;-;-;Uvas frescas;2008
Coreia do Norte;-;-;Uvas frescas;2008
Coreia do Sul;-;-;Uvas frescas;2008
Costa do Marfim;-;-;Uvas frescas;2008
Coveite;-;-;Uvas frescas;2008
Croácia;-;-;Uvas frescas;2008
Curaçao;-;-;Uvas frescas;2008
Dinamarca;414.062;1.227.661;Uvas frescas;2008
Djibuti;-;-;Uvas frescas;2008
Egito;-;-;Uvas frescas;2008
Emirados Arabes Unidos;160.700;306.763;Uvas frescas;2008
Eslovenia;-;-;Uvas frescas;2008
Espanha;-;-;Uvas frescas;2008
Estados Unidos;19.027.635;41.262.823;Uvas frescas;2008
Falkland (Ilhas Malvinas);-;-;Uvas frescas;2008
Faroé, Ilhas;-;-;Uvas frescas;2008
Filipinas;-;-;Uvas frescas;2008
Finlândia;24.580;79.087;Uvas frescas;2008
França;-;-;Uvas frescas;2008
Gabão;-;-;Uvas frescas;2008
Gana;-;-;Uvas frescas;2008
Georgia;-;-;Uvas frescas;2008
Gibraltar;-;-;Uvas frescas;2008
Grêcia;-;-;Uvas frescas;2008
Guadalupe;15.300;34.850;Uvas frescas;2008
Guiana;-;-;Uvas frescas;2008
Guiana Francesa;-;-;Uvas frescas;2008
Guine Equatorial;34;106;Uvas frescas;2008
Honduras;-;-;Uvas frescas;2008
Hong Kong;-;-;Uvas frescas;2008
Ilha de Man;-;-;Uvas frescas;2008
Ilhas Virgens;-;-;Uvas frescas;2008
Índia;-;-;Uvas frescas;2008
Indonésia;-;-;Uvas frescas;2008
Irã;-;-;Uvas frescas;2008
Irlanda;764.178;2.288.680;Uvas frescas;2008
Islandia;-;-;Uvas frescas;2008
Itália;145.500;433.464;Uvas frescas;2008
Japão;-;-;Uvas frescas;2008
Jérsei;-;-;Uvas frescas;2008
Jordânia;-;-;Uvas frescas;2008
Letonia;-;-;Uvas frescas;2008
Líbano;-;-;Uvas frescas;2008
Libéria;-;-;Uvas frescas;2008
Líbia;-;-;Uvas frescas;2008
Lituania;94.212;175.035;Uvas frescas;2008
Luxemburgo;-;-;Uvas frescas;2008
Malasia;-;-;Uvas frescas;2008
Malta;-;-;Uvas frescas;2008
Marrocos;-;-;Uvas frescas;2008
Marshall, Ilhas;-;-;Uvas frescas;2008
Martinica;-;-;Uvas frescas;2008
Mauricio;-;-;Uvas frescas;2008
Mauritânia;-;-;Uvas frescas;2008
Mexico;-;-;Uvas frescas;2008
Mônaco;-;-;Uvas frescas;2008
Mongólia;-;-;Uvas frescas;2008
Montenegro;-;-;Uvas frescas;2008
Nigéria;-;-;Uvas frescas;2008
Noruega;1.434.054;4.094.121;Uvas frescas;2008
Omã;-;-;Uvas frescas;2008
Países Baixos;34.413.288;65.227.215;Uvas frescas;2008
Panamá;-;-;Uvas frescas;2008
Paquistão;-;-;Uvas frescas;2008
Paraguai;-;-;Uvas frescas;2008
Polonia;-;-;Uvas frescas;2008
Porto Rico;-;-;Uvas frescas;2008
Portugal;-;-;Uvas frescas;2008
