pais_origem;pais_destino;quantidade_litro;valor;categorias;ano_exportado
Brasil;Chipre;114.0;142.0;Suco de uva;2008
Brasil;Coreia do Sul;39780.0;64740.0;Suco de uva;2008
Brasil;Curaçao;403.0;802.0;Suco de uva;2008
Brasil;Dinamarca;36.0;27.0;Suco de uva;2008
Brasil;Equador;13800.0;17716.0;Suco de uva;2008
Brasil;Estados Unidos;431004.0;848282.0;Suco de uva;2008
Brasil;Filipinas;12389.0;12734.0;Suco de uva;2008
Brasil;Finlândia;45.0;89.0;Suco de uva;2008
Brasil;França;2.0;1.0;Suco de uva;2008
Brasil;Gana;35559.0;55463.0;Suco de uva;2008
Brasil;Gibraltar;48.0;46.0;Suco de uva;2008
Brasil;Granada;120.0;167.0;Suco de uva;2008
Brasil;Grêcia;144.0;160.0;Suco de uva;2008
Brasil;Guiana;6.0;19.0;Suco de uva;2008
Brasil;Guiana Francesa;90.0;46.0;Suco de uva;2008
Brasil;Haiti;267.0;36.0;Suco de uva;2008
Brasil;Hong Kong;15159.0;28840.0;Suco de uva;2008
Brasil;Ilha de Man;24.0;25.0;Suco de uva;2008
Brasil;India;220.0;496.0;Suco de uva;2008
Brasil;Irlanda;3728.0;5977.0;Suco de uva;2008
Brasil;Itália;6120.0;13764.0;Suco de uva;2008
Brasil;Japão;2187768.0;4777682.0;Suco de uva;2008
Brasil;Libêria;1618.0;2054.0;Suco de uva;2008
Brasil;Líbia;265152.0;278404.0;Suco de uva;2008
Brasil;Luxemburgo;24.0;23.0;Suco de uva;2008
Brasil;Malásia;16695.0;36729.0;Suco de uva;2008
Brasil;Malta;915.0;1564.0;Suco de uva;2008
Brasil;Marshall, Ilhas;4002.0;6122.0;Suco de uva;2008
Brasil;México;4516.0;10837.0;Suco de uva;2008
Brasil;Nigéria;1530.0;2430.0;Suco de uva;2008
Brasil;Noruega;590.0;1034.0;Suco de uva;2008
Brasil;Nova Zelândia;791.0;1741.0;Suco de uva;2008
Brasil;Países Baixos;793.0;1498.0;Suco de uva;2008
Brasil;Panamá;5146.0;8912.0;Suco de uva;2008
Brasil;Paraguai;167679.0;196541.0;Suco de uva;2008
Brasil;Peru;38173.0;81563.0;Suco de uva;2008
Brasil;Porto Rico;24380.0;53636.0;Suco de uva;2008
Brasil;Portugal;146637.0;133524.0;Suco de uva;2008
Brasil;Reino Unido;6412.0;13508.0;Suco de uva;2008
Brasil;República Dominicana;25440.0;80791.0;Suco de uva;2008
Brasil;Rússia;24.0;37.0;Suco de uva;2008
Brasil;Singapura;1449.0;2509.0;Suco de uva;2008
Brasil;Suíça;144.0;155.0;Suco de uva;2008
Brasil;Suriname;2650.0;6758.0;Suco de uva;2008
Brasil;Taiwan (Formosa);33375.0;93988.0;Suco de uva;2008
Brasil;Vanuatu;12.0;9.0;Suco de uva;2008
Brasil;Alemanha, República Democrática;7630.0;45367.0;Vinhos de mesa;2009
Brasil;Angola;4068.0;4761.0;Vinhos de mesa;2009
Brasil;Antígua e Barbuda;419.0;1866.0;Vinhos de mesa;2009
Brasil;Argentina;480.0;3232.0;Vinhos de mesa;2009
Brasil;Austrália;1424.0;12299.0;Vinhos de mesa;2009
Brasil;Áustria;6.0;212.0;Vinhos de mesa;2009
Brasil;Bahamas;1215.0;5799.0;Vinhos de mesa;2009
Brasil;Bangladesh;7.0;84.0;Vinhos de mesa;2009
Brasil;Barbados;220.0;1145.0;Vinhos de mesa;2009
Brasil;Barein;979.0;2789.0;Vinhos de mesa;2009
Brasil;Bélgica;828.0;6145.0;Vinhos de mesa;2009
Brasil;Bolívia;32530.0;49011.0;Vinhos de mesa;2009
Brasil;Brasil;2504.0;952.0;Vinhos de mesa;2009
Brasil;Bulgária;5.0;31.0;Vinhos de mesa;2009
Brasil;Canadá;1183.0;5784.0;Vinhos de mesa;2009
Brasil;Cayman, Ilhas;160.0;958.0;Vinhos de mesa;2009
Brasil;Chile;2094.0;7986.0;Vinhos de mesa;2009
Brasil;China;105395.0;404647.0;Vinhos de mesa;2009
Brasil;Chipre;1521.0;4458.0;Vinhos de mesa;2009
Brasil;Cocos (Keeling), Ilhas;26.0;60.0;Vinhos de mesa;2009
Brasil;Colômbia;8217.0;14068.0;Vinhos de mesa;2009
Brasil;Coreia, Republica Sul;77.0;257.0;Vinhos de mesa;2009
Brasil;Croácia;34.0;484.0;Vinhos de mesa;2009
Brasil;Cuba;16.0;6.0;Vinhos de mesa;2009
Brasil;Curaçao;40673.0;66950.0;Vinhos de mesa;2009
Brasil;Dinamarca;2.0;6.0;Vinhos de mesa;2009
Brasil;Dominica;1485.0;2223.0;Vinhos de mesa;2009
Brasil;Emirados Arabes Unidos;4781.0;85465.0;Vinhos de mesa;2009
Brasil;Equador;135.0;210.0;Vinhos de mesa;2009
Brasil;Estados Unidos;220373.0;447893.0;Vinhos de mesa;2009
Brasil;Filipinas;375.0;790.0;Vinhos de mesa;2009
Brasil;França;5694.0;25008.0;Vinhos de mesa;2009
Brasil;Gana;35949.0;49304.0;Vinhos de mesa;2009
Brasil;Granada;5610.0;7914.0;Vinhos de mesa;2009
Brasil;Grécia;920.0;2426.0;Vinhos de mesa;2009
Brasil;Guatemala;1283.0;5350.0;Vinhos de mesa;2009
Brasil;Guiana;2064.0;5823.0;Vinhos de mesa;2009
Brasil;Guiana Francesa;22.0;18.0;Vinhos de mesa;2009
Brasil;Haiti;553503.0;741014.0;Vinhos de mesa;2009
Brasil;Hong Kong;9371.0;38218.0;Vinhos de mesa;2009
Brasil;Ilha de Man;165.0;641.0;Vinhos de mesa;2009
Brasil;India;247.0;1021.0;Vinhos de mesa;2009
Brasil;Irã;47.0;90.0;Vinhos de mesa;2009
Brasil;Itália;1129.0;6151.0;Vinhos de mesa;2009
Brasil;Japão;37324.0;82208.0;Vinhos de mesa;2009
Brasil;Libéria;9145.0;34815.0;Vinhos de mesa;2009
Brasil;Luxemburgo;36.0;802.0;Vinhos de mesa;2009
Brasil;Malta;3127.0;15587.0;Vinhos de mesa;2009
Brasil;Marshall, Ilhas;7240.0;27178.0;Vinhos de mesa;2009
Brasil;México;6.0;33.0;Vinhos de mesa;2009
Brasil;Moçambique;383.0;1927.0;Vinhos de mesa;2009
Brasil;Nigéria;32234.0;50283.0;Vinhos de mesa;2009
Brasil;Noruega;2711.0;40316.0;Vinhos de mesa;2009
Brasil;Nova Zelândia;63.0;156.0;Vinhos de mesa;2009
Brasil;Omã;194.0;670.0;Vinhos de mesa;2009
Brasil;Países Baixos;7034.0;37240.0;Vinhos de mesa;2009
Brasil;Panamá;11490.0;49392.0;Vinhos de mesa;2009
Brasil;Paraguai;5076670.0;7156293.0;Vinhos de mesa;2009
Brasil;Portugal;1918.0;7613.0;Vinhos de mesa;2009
Brasil;Quênia;1440.0;2080.0;Vinhos de mesa;2009
Brasil;Reino Unido;18835.0;138154.0;Vinhos de mesa;2009
Brasil;Rússia;66046.0;118618.0;Vinhos de mesa;2009
Brasil;São Vicente e Granadinas;20.0;51.0;Vinhos de mesa;2009
Brasil;Serra Leoa;8101.0;15182.0;Vinhos de mesa;2009
Brasil;Singapura;4322.0;15434.0;Vinhos de mesa;2009
Brasil;Suécia;5.0;18.0;Vinhos de mesa;2009
Brasil;Suíça;1584.0;20863.0;Vinhos de mesa;2009
Brasil;Suriname;1225.0;3360.0;Vinhos de mesa;2009
Brasil;Tailândia;432.0;1713.0;Vinhos de mesa;2009
Brasil;Taiwan (FORMOSA);25.0;277.0;Vinhos de mesa;2009
Brasil;Tcheca, República;1305.0;9997.0;Vinhos de mesa;2009
Brasil;Togo;17317.0;25608.0;Vinhos de mesa;2009
Brasil;Turquia;418.0;503.0;Vinhos de mesa;2009
Brasil;Uruguai;637117.0;997367.0;Vinhos de mesa;2009
Brasil;Venezuela;23220.0;32351.0;Vinhos de mesa;2009
Brasil;Vietnã;130.0;277.0;Vinhos de mesa;2009
Brasil;Alemanha;1164.0;6560.0;Espumantes;2009
Brasil;Angola;26383.0;141588.0;Espumantes;2009
Brasil;Antigua e Barbuda;65.0;146.0;Espumantes;2009
Brasil;Bahamas;56.0;194.0;Espumantes;2009
Brasil;Barbados;25.0;101.0;Espumantes;2009
Brasil;Bermudas;12.0;58.0;Espumantes;2009
Brasil;Bolívia;22307.0;70416.0;Espumantes;2009
Brasil;Canada;62.0;347.0;Espumantes;2009
Brasil;Chile;4.0;19.0;Espumantes;2009
Brasil;China;8619.0;35079.0;Espumantes;2009
Brasil;Chipre;382.0;931.0;Espumantes;2009
Brasil;Colombia;15396.0;56227.0;Espumantes;2009
Brasil;Coreia do Sul, Republica da;10.0;30.0;Espumantes;2009
Brasil;Curaçao;3487.0;15494.0;Espumantes;2009
Brasil;Dominica;594.0;1461.0;Espumantes;2009
Brasil;Equador;135.0;500.0;Espumantes;2009
Brasil;Estados Unidos;732209.0;1964451.0;Espumantes;2009
Brasil;Falkland (Malvinas);360.0;2081.0;Espumantes;2009
Brasil;Filipinas;77.0;389.0;Espumantes;2009
Brasil;França;772.0;4308.0;Espumantes;2009
Brasil;Gana;12729.0;58137.0;Espumantes;2009
Brasil;Granada;1122.0;3050.0;Espumantes;2009
Brasil;Grêcia;38.0;177.0;Espumantes;2009
Brasil;Guatemala;284.0;1527.0;Espumantes;2009
Brasil;Guiana;5553.0;26216.0;Espumantes;2009
Brasil;Haiti;4842.0;9417.0;Espumantes;2009
